"","artist","genres"
"189","EXO","k-pop"
"190","Lula","thai idol,thai pop"
"191","Bedroom Audio","thai idol,thai pop"
"192","Wonderframe","thai hip hop,thai pop"
"193","BLACKPINK","k-pop"
"194","The Parkinson","thai pop"
"195","Ironboy","thai hip hop"
"196","<U+0E2A><U+0E21><U+0E2D><U+0E32><U+0E23><U+0E21><U+0E13><U+0E4C>",NA
"197","HONNE","indie r&b,vapor soul"
"198","Oat Pramote","thai hip hop,thai idol,thai pop"
"199","Ink Waruntorn","thai idol,thai pop"
"200","Safeplanet","thai pop"
"201","H.E.R.","alternative r&b,indie r&b,pop,r&b"
"202","Jolin Tsai","c-pop,cantopop,mandopop"
"203","A-Lin","c-pop,mandopop"
"204","EggPlantEgg","chinese indie,mandopop,taiwan indie"
"205","Ronghao Li","cantopop,mainland chinese pop,mandopop"
"206","Eve Ai","mandopop"
"207","G.E.M.","cantopop,mandopop"
"208","Kelly Yu","mandopop"
"209","Karen Mok","c-pop,cantopop,classic mandopop,mandopop"
"210","A-Mei Chang","c-pop,chinese indie,classic mandopop,mandopop"
"211","<U+8001><U+738B><U+6A02><U+968A>",NA
"212","James Arthur","dance pop,pop,post-teen pop,talent show"
"213","Crowd Lu","cantopop,chinese indie,mandopop,taiwan indie"
"214","Mayday","emo,pop emo,pop punk,pop rock,screamo"
"215","TWICE","k-pop"
"216","The Chainsmokers","edm,electropop,pop,tropical house"
"217","Yoyo Sham","chinese indie,hong kong indie,mandopop"
"218","WINNER","k-pop,korean pop"
"219","Aitana","spanish pop"
"220","Lola Indigo","latin viral pop"
"221","Marc Anthony","latin,latin pop,salsa,tropical"
"222","ROSALÍA",NA
"223","Beret","spanish hip hop,spanish pop"
"224","Dvicio","latin arena pop,latin pop,latin viral pop,spanish pop"
"225","Lalo Ebratt","colombian hip hop"
"226","David Bisbal","latin,latin arena pop,latin pop,spanish pop,spanish pop rock,tropical"
"227","Ana Guerra","latin pop,latin viral pop,spanish pop"
"228","Morat","colombian pop,latin pop"
"229","Mozart La Para","dembow,rap dominicano"
"230","Melendi","latin pop,spanish pop,spanish pop rock"
"231","Lele Pons","viral pop"
"232","Lunay","reggaeton flow"
"233","Juan Magán","dance pop,electro latino,latin,latin pop,pop,tropical"
"234","Bryant Myers","latin,reggaeton flow,trap latino,tropical"
"235","Headie One","uk hip hop"
"236","George Ezra","neo-singer-songwriter"
"237","Jax Jones","dance pop,edm,house,pop,post-teen pop,tropical house"
"238","Little Mix","dance pop,girl group,pop,post-teen pop,r&b,talent show"
"239","Dave","grime,uk hip hop"
"240","Keala Settle","broadway,hollywood"
"241","Hugh Jackman","hollywood"
"242","Jess Glynne","dance pop,pop,post-teen pop,tropical house"
"243","Zac Efron","hollywood,post-teen pop"
"244","Ziv Zaifman",""
"245","Loren Allred","deep talent show,hollywood,movie tunes"
"246","Charli XCX","candy pop,dance pop,edm,electropop,indie poptimism,metropopolis,pop,post-teen pop,r&b,tropical house"
"247","Jireel","deep swedish hip hop,swedish idol pop,swedish reggae"
"248","Smith & Thell","pop,post-teen pop"
"249","Victor Leksell","swedish idol pop"
"250","Z.E","deep swedish hip hop"
"251","Sebastian Walldén","swedish idol pop"
"252","Ant Wan","deep swedish hip hop"
"253","Molly Sandén","europop,swedish folk pop,swedish idol pop,swedish pop"
"254","Lewis Capaldi","australian pop,pop"
"255","Fricky","deep swedish hip hop,swedish idol pop"
"256","Hov1","swedish idol pop,swedish pop"
"257","Dree Low","deep swedish hip hop"
"258","Sandro Cavazza","swedish idol pop,swedish pop"
"259","Vigiland","dance pop,edm,electronic trap,tropical house"
"260","Black Coffee","afro house,deep house,kwaito house"
"261","Lauv","dance pop,electropop,pop,post-teen pop"
"262","Martin Garrix","big room,edm,pop,progressive house,tropical house"
"263","Chris Brown","dance pop,pop,pop rap,r&b,rap"
"264","Prince Kaybee","afro house,gqom,kwaito,kwaito house,south african pop"
"265","Zedd","complextro,dance pop,edm,german techno,pop,post-teen pop,tropical house"
"266","AKA","dance rock,new wave,punk,ska,ska punk,ska revival"
"267","DMS",""
"268","Gleb","neo-trad prog"
"269","Zayo","czsk hip hop"
"270","Kali","alternative r&b,colombian pop,indie r&b,pop"
"271","Jay Chou","c-pop,mandopop"
"272","Why Don't We","boy band,dance pop,pop,post-teen pop"
