"","playlist_name","playlist_img","track_name","track_uri","artist_name","album_name","album_img","danceability.x","energy.x","key.x","loudness.x","mode.x","speechiness.x","acousticness.x","instrumentalness.x","liveness.x","valence.x","tempo.x","duration_ms.x","time_signature.x","key_mode.x","danceability.y","energy.y","key.y","loudness.y","mode.y","speechiness.y","acousticness.y","instrumentalness.y","liveness.y","valence.y","tempo.y","duration_ms.y","time_signature.y","key_mode.y","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode"
"21","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Without Me","5p7ujcrUXASCNwRaWNHR1C","Halsey","Without Me","https://i.scdn.co/image/dd916d01780a9591c8a02944fa06aaf30ca3e374",0.752,0.488,"F#",-7.05,"major",0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4,"F# major",0.752,0.488,"F#",-7.05,"major",0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4,"F# major",0.752,0.488,"F#",-7.05,"major",0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4,"F# major"
"22","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Happy Xmas (War Is Over) - Remastered","3zJw3rugfpVrmBeDDnUYzy","John Lennon","Power To The People - The Hits","https://i.scdn.co/image/2b8d8b3d509bf68a05aad85b8bbbc714b1d15bf2",0.328,0.607,"D",-11.076,"major",0.0315,0.319,0,0.765,0.395,146.539,213880,3,"D major",0.328,0.607,"D",-11.076,"major",0.0315,0.319,0,0.765,0.395,146.539,213880,3,"D major",0.328,0.607,"D",-11.076,"major",0.0315,0.319,0,0.765,0.395,146.539,213880,3,"D major"
"23","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Happier","2dpaYNEQHiRxtZbfNsse99","Marshmello","Happier","https://i.scdn.co/image/13e7cea6399eaaf6cc7ead76e9582f8a9e37dbff",0.687,0.792,"F",-2.749,"major",0.0452,0.191,0,0.167,0.671,100.015,214290,4,"F major",0.687,0.792,"F",-2.749,"major",0.0452,0.191,0,0.167,0.671,100.015,214290,4,"F major",0.687,0.792,"F",-2.749,"major",0.0452,0.191,0,0.167,0.671,100.015,214290,4,"F major"
"24","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","It's Beginning To Look A Lot Like Christmas","0lLdorYw7lVrJydTINhWdI","Michael Bublé","Christmas","https://i.scdn.co/image/5f828e84beaefc8c0539ca558f849e8549e8778c",0.35,0.232,"E",-11.042,"major",0.0331,0.907,9.21e-06,0.292,0.381,93.269,206347,3,"E major",0.35,0.232,"E",-11.042,"major",0.0331,0.907,9.21e-06,0.292,0.381,93.269,206347,3,"E major",0.35,0.232,"E",-11.042,"major",0.0331,0.907,9.21e-06,0.292,0.381,93.269,206347,3,"E major"
"25","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Wonderful Dream (Holidays Are Coming) - Radio Version","0SvD6EdetxVtXei2JhkV4B","Melanie Thornton","Ready To Fly","https://i.scdn.co/image/003a51299d3e66e4157920e621b641d2b5a57d98",0.578,0.676,"G#",-5.478,"major",0.033,0.114,0,0.255,0.524,149.965,231933,4,"G# major",0.578,0.676,"G#",-5.478,"major",0.033,0.114,0,0.255,0.524,149.965,231933,4,"G# major",0.578,0.676,"G#",-5.478,"major",0.033,0.114,0,0.255,0.524,149.965,231933,4,"G# major"
"26","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Meer","1LcvTvRfWrQjrF6aymfugd","Luciano","L.O.C.O.","https://i.scdn.co/image/cbe12d82ea095e04b87278b2f6816473f6e7b893",0.728,0.638,"G#",-6.41,"minor",0.252,0.24,0.000501,0.106,0.598,160.036,177253,4,"G# minor",0.728,0.638,"G#",-6.41,"minor",0.252,0.24,0.000501,0.106,0.598,160.036,177253,4,"G# minor",0.728,0.638,"G#",-6.41,"minor",0.252,0.24,0.000501,0.106,0.598,160.036,177253,4,"G# minor"
"27","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Shallow","2VxeLyX666F8uXCJ0dZF8B","Lady Gaga","A Star Is Born Soundtrack","https://i.scdn.co/image/c58764827434c5471f944b0700ab98fd3d0bd5a7",0.572,0.385,"G",-6.362,"major",0.0308,0.371,0,0.231,0.323,95.799,215733,4,"G major",0.572,0.385,"G",-6.362,"major",0.0308,0.371,0,0.231,0.323,95.799,215733,4,"G major",0.572,0.385,"G",-6.362,"major",0.0308,0.371,0,0.231,0.323,95.799,215733,4,"G major"
"28","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Ich liebe es (feat. XATAR & SAMY)","71XGMPKmWtVxO7bGcGZhbn","Capital Bra","Allein","https://i.scdn.co/image/e78dc7362390f2efb201b3b5b2180aed4a1eb48e",0.549,0.735,"F#",-5.226,"minor",0.299,0.325,0,0.263,0.495,97.538,167506,4,"F# minor",0.549,0.735,"F#",-5.226,"minor",0.299,0.325,0,0.263,0.495,97.538,167506,4,"F# minor",0.549,0.735,"F#",-5.226,"minor",0.299,0.325,0,0.263,0.495,97.538,167506,4,"F# minor"
"29","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Let You Love Me","5Fla3zyOCcIRqrDoKLU0DP","Rita Ora","Phoenix (Deluxe)","https://i.scdn.co/image/47841a865a85ae39da440a1346e56190bf035d02",0.531,0.854,"A#",-3.149,"major",0.198,0.288,0,0.0773,0.456,94.419,190000,4,"A# major",0.531,0.854,"A#",-3.149,"major",0.198,0.288,0,0.0773,0.456,94.419,190000,4,"A# major",0.531,0.854,"A#",-3.149,"major",0.198,0.288,0,0.0773,0.456,94.419,190000,4,"A# major"
"30","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","4w8niZpiMy6qz1mntFA5uM","DJ Snake","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","https://i.scdn.co/image/cca02c139eb4270d5e396086329c97c782c7b478",0.841,0.798,"C#",-4.206,"minor",0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500,4,"C# minor",0.841,0.798,"C#",-4.206,"minor",0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500,4,"C# minor",0.841,0.798,"C#",-4.206,"minor",0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500,4,"C# minor"
